index,input_TL,output_han,output_TL,option
3458,haukor,效果,hāu-kó,
3459,haulak,呺六,,
3460,haulam,孝男,hàu-lâm,
3461,hauli,孝女,hàu-lí/hàu-lú,
3462,haulik,效力,hāu-li̍k,
3463,hauling,效能,hāu-lîng,
3464,haulu,孝女,hàu-lí/hàu-lú,
3465,haulut,效率,hāu-lu̍t,
3466,haumeh,候脈,hāu-me̍h,
3467,haunnhhaunnh,澩澩,ha̍unnh-ha̍unnh,
3468,haunnhtshihtshih,吼叱叱,,
3469,hauphiann,瓦缾,,
3470,hauphio,鱟薸,,
3471,haupoo,候補,hāu-póo,
3472,hausenn,後生,hāu-senn/hāu-sinn,
3473,hausia,校舍,hāu-sià,
3474,hausiau,嘐潲,hau-siâu,
3475,hausiauue,嘐潲話,hau-siâu-uē,
3476,hausim,孝心,hàu-sim,
3477,hausinn,後生,hāu-senn/hāu-sinn,
3478,hausuanjin,候選人,hāu-suán-jîn/hāu-suán-lîn,
3479,hausuanlin,候選人,hāu-suán-jîn/hāu-suán-lîn,
3480,hausun,孝順,,
3481,hautai,孝呆,hàu-tai,
3482,hautiong,效忠,hāu-tiong,
3483,hautiunn,校長,hāu-tiúnn,
3484,hautshuan,哮喘,,
3485,hautsu,孝子,hàu-tsú,
3486,hauuan,校園,hāu-hn̂g,
3487,hba,花眉仔,,
3488,hbg,服務業,,
3489,hbk,顯微鏡,hián-bî-kiànn,
3490,hbs,服務生,,
3491,hbt,和美鎮,Hô-bí-tìn,附錄
3492,hbt,服務台,,附錄
3493,hbt,虎尾鎮,Hóo-bué-tìn,附錄
3494,hbtk,花袂牢枝,hue-bē-tiâu-ki/hue-buē-tiâu-ki,
3495,hbu,服務員,,
3496,hea,夏仔,,
3497,hea,會仔,huē-á/hē-á,
3498,hea,蝦仔,hê-á,
3499,hebe,貨尾,huè-bué/hè-bé,
3500,hebi,蝦米,hê-bí,
3501,hebu,會務,huē-bū,
3502,hebut,貨物,huè-bu̍t/hè-bu̍t,
3503,heguan,下願,hē-guān,
3504,heguan,會員,huē-uân,
3505,hehiang,回響,huê-hióng/hê-hióng,
3506,hehiong,回響,huê-hióng/hê-hióng,
3507,hehkhun,歇睏,hioh-khùn,
3508,hehkiann,嚇驚,heh-kiann,
3509,hehok,回復,,
3510,hehok,回覆,huê-hok/hê-hok,
3511,hehu,火烌,hué-hu/hé-hu,
3512,hehun,火薰,hué-hun/hé-hun,
3513,hehun,回魂,huê-hûn/hê-hûn,
3514,hehunkonga,火薰管仔,,
3515,heik,回憶,huê-ik/hê-ik,
3516,heing,回應,huê-ìng/hê-ìng,
3517,heioh,火藥,hué-io̍h/hé-io̍h,
3518,heiorh,火藥,hué-io̍h/hé-io̍h,
3519,heiu,回郵,huê-iû/hê-iû,
3520,heiunn,貨樣,huè-iūnn/hè-iūnn,
3521,hejin,蝦仁,hê-jîn/hê-lîn,
3522,hekau,回教,Huê-kàu/hê-kàu,
3523,hekau,蝦猴,hê-kâu,
3524,heke,蝦膎,hê-kê/hê-kuê,
3525,hekham,會勘,huē-kham,
3526,hekhi,火氣,hué-khì/hé-khì,
3527,hekhi,夥計,hué-kì/hé-kì,
3528,hekhinn,火鉗,hué-khînn/hé-khînn,
3529,hekhuan,貨款,huè-khuán/hè-khuán,
3530,heki,伙計,,
3531,heki,會期,huē-kî,
3532,heki,夥計,hué-kì/hé-kì,
3533,hekimkoo,火金蛄,hué-kim-koo/hé-kim-koo,
3534,heking,火警,hué-kíng/hé-kíng,
3535,hekng,火光,hué-kng/hé-kng,
3536,hekng,火管,hué-kńg/hé-kńg,
3537,heko,火鍋,hué-ko/hé-ko,
3538,hekok,回國,huê-kok/hê-kok,
3539,hekoo,回顧,huê-kòo/hê-kòo,
3540,hekoo,蝦蛄,hê-koo,
3541,hekoophiaka,蝦蛄擗仔,hê-koo-phia̍k-á,
3542,heku,痚呴,he-ku,
3543,hekue,火雞,,
3544,hekue,蝦膎,hê-kê/hê-kuê,
3545,hekuebo,火雞母,hué-ke-bó/hé-kue-bó,
3546,hekuebu,火雞母,hué-ke-bó/hé-kue-bó,
3547,hekui,回歸,huê-kui/hê-kui,
3548,hekui,回饋,huê-kuī/hê-kuī,
3549,hekui,貨櫃,huè-kuī/hè-kuī,
3550,hekuinn,火光,hué-kng/hé-kng,
3551,hekusau,痚呴嗽,he-ku-sàu,
3552,heliat,系列,hē-lia̍t,
3553,helik,火力,hué-li̍k/hé-li̍k,
3554,helin,蝦仁,hê-jîn/hê-lîn,
3555,heliu,回流,huê-liû/hê-liû,
3556,heloh,下落,,
3557,heloo,火爐,,
3558,hengeh,火夾,hué-ngeh/hé-ngeh,
3559,hengueh,火夾,hué-ngeh/hé-ngeh,
3560,hennhkhun,歇睏,hioh-khùn,
3561,hennhkiann,嚇驚,heh-kiann,
3562,hennlah,嘿啦,,
3563,hepe,貨幣,huè-pè/hè-pè,
3564,hephue,回批,huê-phue/hê-phue,
3565,hepi,蝦卑,hê-pi,
3566,hepo,回報,huê-pò/hê-pò,
3567,hepo,會報,huē-pò,
3568,hepor,回報,huê-pò/hê-pò,
3569,hepun,下本,hē-pún,
3570,herbut,貨物,huè-bu̍t/hè-bu̍t,
3571,hergueh,火夾,hué-ngeh/hé-ngeh,
3572,herhiang,回響,huê-hióng/hê-hióng,
3573,herhiong,回響,huê-hióng/hê-hióng,
3574,herhok,回復,,
3575,herik,回憶,huê-ik/hê-ik,
3576,hering,回應,huê-ìng/hê-ìng,
3577,herioh,火藥,hué-io̍h/hé-io̍h,
3578,heriu,回郵,huê-iû/hê-iû,
3579,herkau,回教,Huê-kàu/hê-kàu,
3580,herkere,火雞,,
3581,herkhinn,火鉗,hué-khînn/hé-khînn,
3582,herkhuan,貨款,huè-khuán/hè-khuán,
3583,herki,伙計,,
3584,herki,夥計,hué-kì/hé-kì,
3585,herkimkoo,火金蛄,hué-kim-koo/hé-kim-koo,
3586,herkimtshinn,火金星,,
3587,herking,火警,hué-kíng/hé-kíng,
3588,herkng,火光,hué-kng/hé-kng,
3589,herkok,回國,huê-kok/hê-kok,
3590,herkoo,回顧,huê-kòo/hê-kòo,
3591,herkue,火雞,,
3592,herkui,回歸,huê-kui/hê-kui,
3593,herkui,回饋,huê-kuī/hê-kuī,
3594,herkui,貨櫃,huè-kuī/hè-kuī,
3595,herlang,火熥,hué-thang/hé-thang,
3596,herlik,火力,hué-li̍k/hé-li̍k,
3597,herliu,回流,huê-liû/hê-liû,
3598,herloo,火爐,,
3599,herpe,貨幣,huè-pè/hè-pè,
3600,herpo,回報,huê-pò/hê-pò,
3601,herrbut,貨物,huè-bu̍t/hè-bu̍t,
3602,herrkhuan,貨款,huè-khuán/hè-khuán,
3603,herrkui,貨櫃,huè-kuī/hè-kuī,
3604,herrpe,貨幣,huè-pè/hè-pè,
3605,herrtshia,貨車,huè-tshia/hè-tshia,
3606,herrun,貨運,huè-ūn/hè-ūn,
3607,hersing,回升,huê-sing/hê-sing,
3608,hersio,火燒,,
3609,hersiong,回想,huê-sióng/hê-sióng,
3610,hersiotshu,火燒厝,hué-sio-tshù/hé-sio-tshù,
3611,hersiu,回收,huê-siu/hê-siu,
3612,hersiunn,和尚,,
3613,herthang,火熥,hué-thang/hé-thang,
3614,herthing,回程,huê-tîng/hê-tîng,
3615,herthio,火挑,,
3616,herthuann,火炭,hué-thuànn/hé-thuànn,
3617,herting,回程,huê-tîng/hê-tîng,
3618,hertshata,火擦仔,,
3619,hertshia,火車,,
3620,hertshia,貨車,huè-tshia/hè-tshia,
3621,heruiha,火劃仔,,
3622,herun,貨運,huè-ūn/hè-ūn,
3623,hesai,火屎,hué-sái/hé-sái,
3624,hesenna,屏遮那,Hè-sen-ná,附錄
3625,hesennmia,下性命,hē-sènn-miā/hē-sìnn-miā,
3626,hesik,貨色,huè-sik/hè-sik,
3627,hesimtsuani,回心轉意,huê-sim-tsuán-ì/hê-sim-tsuán-ì,
3628,hesing,回升,huê-sing/hê-sing,
3629,hesinnmia,下性命,hē-sènn-miā/hē-sìnn-miā,
3630,hesio,火燒,,
3631,hesiong,回想,huê-sióng/hê-sióng,
3632,hesiong,會商,huē-siong,
3633,hesiopoo,火燒埔,hué-sio-poo/hé-sio-poo,
3634,hesiosuann,火燒山,hué-sio-suann/hé-sio-suann,
3635,hesiotshu,火燒厝,hué-sio-tshù/hé-sio-tshù,
3636,hesit,伙食,hué-si̍t/hé-si̍t,
3637,hesiu,回收,huê-siu/hê-siu,
3638,hesiu,歲壽,huè-siū/hè-siū,
3639,hesiunn,和尚,,
3640,hesiunntsiu,和尚洲,Huê-siūnn-tsiu,附錄
3641,hesoo,系所,hē-sóo,
3642,hesuann,火山,hué-suann/hé-suann,
3643,hetam,會談,huē-tâm,
3644,hetap,回答,huê-tap/hê-tap,
3645,hethang,火熥,hué-thang/hé-thang,
3646,hethau,回頭,huê-thâu/hê-thâu,
3647,hethau,貨頭,huè-thâu/hè-thâu,
3648,hethau,會頭,huē-thâu/hē-thâu,
3649,hethau,歲頭,huè-thâu/hè-thâu,
3650,hething,回程,huê-tîng/hê-tîng,
3651,hethio,火挑,,
3652,hethong,系統,hē-thóng,
3653,hethuann,火炭,hué-thuànn/hé-thuànn,
3654,hethui,火腿,hué-thuí/hé-thuí,
3655,heting,回程,huê-tîng/hê-tîng,
3656,hetiunn,會長,huē-tiúnn,
3657,hetsai,火災,hué-tsai/hé-tsai,
3658,hetshau,貨草,huè-tsháu/hè-tsháu,
3659,hetshia,火車,,
3660,hetshia,貨車,huè-tshia/hè-tshia,
3661,hetshialoo,火車路,hué-tshia-lōo/hé-tshia-lōo,
3662,hetshiatsam,火車站,hué-tshia-tsām/hé-tshia-tsām,
3663,hetshinn,火星,hué-tshenn/hé-tshinn,
3664,hetshiu,下手,hē-tshiú,
3665,hetsi,夏至,hē-tsì,附錄
3666,hetsih,火舌,hué-tsi̍h/hé-tsi̍h,
3667,hetsing,火種,hué-tsíng/hé-tsíng,
3668,hetsinn,火箭,hué-tsìnn/hé-tsìnn,
3669,hetsioha,火石仔,hué-tsio̍h-á/hé-tsio̍h-á,
3670,hetsu,貨主,huè-tsú/hè-tsú,
3671,hetsun,貨船,huè-tsûn/hè-tsûn,
3672,hetu,火箸,hué-tī/hé-tū,
3673,hetua,火大,hué-tuā/hé-tuā,
3674,hetue,貨底,huè-té/hè-tué,
3675,heuan,會員,huē-uân,
3676,heun,貨運,huè-ūn/hè-ūn,
3677,hga,粉蟯仔,,
3678,hgj,發言人,,
3679,hgkh,富源溪,Hù-guân-khe,附錄
3680,hgl,好額人,hó-gia̍h-lâng,
3681,hgt,發源地,huat-guân-tē/huat-guân-tuē,
3682,hgtsh,豐原市,,
3683,hha,花花仔,hue-hue--á,
3684,hha,喝魚仔,huah-hî-á/huah-hû-á,
3685,hhb,鳳凰木,hōng-hông-bo̍k,
3686,hhh,芬園鄉,Hun-hn̂g-hiong,附錄
3687,hhh,海協會,Hái-hia̍p-huē,
3688,hhh,復興鄉,,
3689,hhh,福興鄉,Hok-hing-hiong,附錄
3690,hhhh,嘻嘻嘩嘩,hi-hi-huā-huā,
3691,hhhh,歡歡喜喜,huann-huann-hí-hí,
3692,hhj,發行人,,
3693,hhk,咻咻叫,hiu-hiu-kiò,
3694,hhk,飛行機,hue-lîng-ki,
3695,hhk,哼哼叫,hainn-hainn-kiò,
3696,hhk,復興崗,Ho̍k-hing-kong,附錄
3697,hhk,鼾鼾叫,huânn-huânn-kiò,
3698,hhka,火薰管仔,,
3699,hhkts,花花公子,hua-hua-kong-tsú,
3700,hhl,好好人,hó-hó-lâng,
3701,hhl,焚化爐,hûn-huà-lôo,
3702,hhpa,火烌耙仔,,
3703,hhph,化學品,,
3704,hhph,興化廍,Hing-huà-phōo,附錄
3705,hhs,海和尚,hái-huê-siūnn,
3706,hhs,海岸線,,
3707,hht,好兄弟,hó-hiann-tī,
3708,hhth,風火頭,hong-hué-thâu/hong-hé-thâu,
3709,hhts,防腐劑,hông-hú-tse,
3710,hhts,雄黃酒,hiông-hông-tsiú,
3711,hhts,僥倖錢,hiau-hīng-tsînn,
3712,hhtsha,黃昏市仔,hông-hun-tshī-á,
3713,hhuu,風風雨雨,hong-hong-ú-ú,
3714,hia,耳仔,hīnn-á/hī-á,
3715,hiae,遐的,hia--ê,
3716,hiahni,遐爾,hiah-nī,
3717,hiahnia,遐爾仔,hiah-nī-á,
3718,hiahthau,額頭,hia̍h-thâu,
3719,hiai,喜愛,,
3720,hiaio,瓦窯,hiā-iô,
3721,hiakong,靴管,,
3722,hiama,杴仔,,
3723,hiamgi,嫌疑,hiâm-gî,
3724,hiamhiam,險險,hiám-hiám,
3725,hiamhuan,嫌犯,hiâm-huān,
3726,hiamkiunna,薟薑仔,hiam-kiunn-á,
3727,hiamkiunnatsiunn,薟薑仔醬,,
3728,hiamkiunntsiunn,薟薑醬,,
3729,hiamtsioa,薟椒仔,hiam-tsio-á,
3730,hiamtsioatsiunn,薟椒仔醬,,
3731,hiamtsiora,薟椒仔,hiam-tsio-á,
3732,hiana,絃仔,,
3733,hianbikiann,顯微鏡,hián-bî-kiànn,
3734,hianga,耳甕仔,hīnn-àng-á/hī-àng-á,
3735,hiangak,弦樂,hiân-ga̍k,
3736,hianghok,享福,hiáng-hok,
3737,hianging,響應,hiáng-ìng,
3738,hiangiong,享用,hiáng-iōng,
3739,hiangiu,享有,hiáng-iú,
3740,hiangiu,香油,hiang-iû,
3741,hiangkhi,響起,,
3742,hiangliang,響亮,hiáng-liāng,
3743,hiangliau,香料,,
3744,hiangsi,向時,hiàng-sî,
3745,hiangsiu,享受,hiáng-siū,
3746,hianhian,現現,hiān-hiān,
3747,hianhian,顯現,hián-hiān,
3748,hianhing,現胸,hiàn-hing,
3749,hianhong,現況,hiān-hóng,
3750,hianhuat,憲法,hiàn-huat,
3751,hianhue,賢慧,hiân-huē,
3752,hianiu,現有,hiān-iú,
3753,hianjian,顯然,,
3754,hianjim,現任,hiān-jīm/hiān-līm,
3755,hiankaituann,現階段,,
3756,hianke,獻計,hiàn kè,
3757,hiankim,現今,hiān-kim,
3758,hiankim,現金,hiān-kim,
3759,hiankin,現今,hiān-kim,
3760,hianking,獻敬,hiàn-kìng,
3761,hianlaua,現流仔,hiān-lâu-á,
3762,hianlim,現任,hiān-jīm/hiān-līm,
3763,hianloo,顯露,hián-lōo,
3764,hiannbak,顯目,hiánn-ba̍k,
3765,hiannhe,燃火,hiânn-hué/hiânn-hé,
3766,hiannhiann,向向,hiànn-hiànn,
3767,hiannhue,燃火,hiânn-hué/hiânn-hé,
3768,hiannko,兄哥,hiann-ko,
3769,hiannso,兄嫂,hiann-só,
3770,hiannsor,兄嫂,hiann-só,
3771,hiannthau,顯頭,hiánn-thâu,
3772,hiannti,兄弟,hiann-tī,
3773,hianntia,兄弟仔,,
3774,hianntitsibe,兄弟姊妹,hiann-tī-tsí-muē/hiann-tī-tsí-bē,
3775,hianntitsimuai,兄弟姊妹,hiann-tī-tsí-muē/hiann-tī-tsí-bē,
3776,hianntitsimue,兄弟姊妹,hiann-tī-tsí-muē/hiann-tī-tsí-bē,
3777,hianntsha,燃柴,hiânn-tshâ,
3778,hianntshau,艾草,,
3779,hianping,憲兵,hiàn-ping,
3780,hiansi,現世,hiān-sì,
3781,hiansi,顯示,hián-sī,
3782,hiansin,現身,hiàn-sin,
3783,hiansin,獻身,hiàn-sin,
3784,hiansing,現成,hiān-sîng,
3785,hiansing,顯聖,hián-sìng,
3786,hiansiong,現象,hiān-siōng,
3787,hiansit,現實,hiān-si̍t,
3788,hiantai,現代,hiān-tāi,
3789,hiantaihua,現代化,,
3790,hiantailang,現代人,,
3791,hiantiunn,現場,hiān-tiûnn,
3792,hiantsai,現在,,
3793,hiantshusi,現此時,hiān-tshú-sî,
3794,hiantshut,顯出,hián-tshut,
3795,hiantsing,憲政,hiàn-tsìng,
3796,hiantsong,現狀,hiān-tsōng,
3797,hiantsusi,現此時,hiān-tshú-sî,
3798,hiantu,顯著,hián-tù,
3799,hiantuhian,現拄現,hiān-tú-hiān,
3800,hiapai,囂俳,hiau-pai,
3801,hiapgi,協議,hia̍p-gī,
3802,hiapgi,狹義,,
3803,hiaphue,協會,hia̍p-huē,
3804,hiaphuea,瓦杮仔,hiā-phuè-á,
3805,hiapiok,協約,hia̍p-iok,
3806,hiapli,協理,hia̍p-lí,
3807,hiaplik,協力,hia̍p-li̍k,
3808,hiappan,協辦,hia̍p-pān,
3809,hiapsiong,協商,hia̍p-siong,
3810,hiapthih,吸鐵,,
3811,hiaptiau,協調,hia̍p-tiau,
3812,hiapting,協定,hia̍p-tīng,
3813,hiaptong,協同,hia̍p-tông,
3814,hiaptsoo,協助,hia̍p-tsōo,
3815,hiaptsui,拹水,hia̍p-tsuí,
3816,hiathun,血暈,,
3817,hiatian,血緣,hiat-iân,
3818,hiatloo,血路,hueh-lōo/huih-lōo,
3819,hiatshi,魚仔市,hî-á-tshī/hû-á-tshī,
3820,hiatshu,瓦厝,hiā-tshù,
3821,hiatthong,血統,hiat-thóng,
3822,hiau,嘿啦,,
3823,hiauhhiauh,藃藃,hiauh-hiauh,
3824,hiauhing,僥倖,hiau-hīng,
3825,hiauhingtsinn,僥倖錢,hiau-hīng-tsînn,
3826,hiauhiong,梟雄,hiau-hiông,
3827,hiauhthan,藃蟶,hiauh-than,
3828,hiauhue,嬈花,hiâu-hue,
3829,hiaupai,囂俳,hiau-pai,
3830,hiausim,僥心,hiau-sim,
3831,hiauthan,藃蟶,hiauh-than,
3832,hiautit,曉得,,
3833,hiautshittshit,嘵叱叱,,
3834,hibang,希望,hi-bāng,
3835,hibang,魚網,hî-bāng/hû-bāng,
3836,hibang,漁網,hî-bāng/hû-bāng,
3837,hibi,稀微,hi-bî,
3838,hibin,漁民,hî-bîn/hû-bîn,
3839,hibong,希望,hi-bāng,
3840,hibun,戲文,hì-bûn,
3841,higam,肺癌,hì-gâm,
3842,higi,虛擬,hi-gí,
3843,higiap,漁業,hî-gia̍p/hû-gia̍p,
3844,higui,虛偽,,
3845,hihan,希罕,,
3846,hihe,虛火,hi-hué/hi-hé,
3847,hihihuahua,嘻嘻嘩嘩,hi-hi-huā-huā,
3848,hihng,戲園,hì-hn̂g,
3849,hihu,魚拊,hî-hú/hû-hú,
3850,hihu,漁夫,,
3851,hihua,虛華,hi-hua,
3852,hihuann,喜歡,,
3853,hihue,虛火,hi-hué/hi-hé,
3854,hihue,漁會,hî-huē/hû-huē,
3855,hiiam,肺炎,hì-iām,
3856,hiian,喜宴,hí-iàn,
3857,hiinn,戲院,hì-īnn,
3858,hiiu,稀有,,
3859,hiji,魚餌,hî-jī/hû-lī,
3860,hijiok,虛弱,hi-jio̍k/hi-lio̍k,
3861,hik,福佑宮,Hok-iū-kiong,附錄
3862,hik,縖腰巾,,附錄
3863,hikang,漁港,hî-káng/hû-káng,
3864,hikau,耳鉤,hīnn-kau/hī-kau,
3865,hikbu,核武,hi̍k-bú,
3866,hikhang,耳空,,
3867,hikhangkhin,耳空輕,hīnn-khang-khin/hī-khang-khin,
3868,hikhangkuia,耳空鬼仔,hīnn-khang-kuí-á/hī-khang-kuí-á,
3869,hikhangtang,耳空重,hīnn-khang-tāng/hī-khang-tāng,
3870,hikhi,喜氣,hí-khì,
3871,hikhik,戲曲,hì-khik,
3872,hikho,許可,hí-khó/hú-khó,
3873,hikhuan,耳環,hīnn-khuân/hī-khuân,
3874,hikhuat,核發,hi̍k-huat,
3875,hiki,耳機,hīnn-ki,
3876,hiki,稀奇,hi-kî,
3877,hikiann,耳鏡,hīnn-kiànn/hī-kiànn,
3878,hikik,戲劇,hì-kio̍k,
3879,hikiok,喜劇,hí-kio̍k,
3880,hikiok,戲劇,hì-kio̍k,
3881,hikling,核能,hi̍k-lîng,
3882,hikng,肺管,hì-kńg,
3883,hikoo,虛構,hi-kòo,
3884,hiksi,或是,,
3885,hiksim,核心,hi̍k-sim,
3886,hikting,核定,hi̍k-tīng,
3887,hiktsia,或者,hi̍k-tsiá,
3888,hiktsir,核子,hi̍k-tsú,
3889,hiktsu,核子,hi̍k-tsú,
3890,hiktsun,核准,hi̍k-tsún,
3891,hikuanniu,魚肝油,hî-kuann-iû/hû-kuann-iû,
3892,hikun,魚群,hî-kûn/hû-kûn,
3893,hilan,魚鱗,,
3894,hilang,戲弄,hì-lāng,
3895,hilantsea,魚鱗𤺅仔,hî-lân-tshè-á/hû-lân-tshè-á,
3896,hilantshea,魚鱗𤺅仔,hî-lân-tshè-á/hû-lân-tshè-á,
3897,hilantsheha,魚鱗𤺅仔,hî-lân-tshè-á/hû-lân-tshè-á,
3898,hilantshui,魚鱗𤺅,,
3899,hilantshuia,魚鱗𤺅仔,hî-lân-tshè-á/hû-lân-tshè-á,
3900,hilantsue,魚鱗𤺅,,
3901,hiliok,虛弱,hi-jio̍k/hi-lio̍k,
3902,hilo,肺癆,hì-lô,
3903,hilui,魚類,hî-luī/hû-luī,
3904,himsian,欣羨,him-siān,
3905,himsiong,欣賞,him-sióng,
3906,himtann,熊膽,hîm-tánn,
3907,hingan,刑案,,
3908,hingbun,行文,hîng-bûn,
3909,hinggik,橫逆,hîng-gi̍k,
3910,hinghok,幸福,hīng-hok,
3911,hinghuaphoo,興化廍,Hing-huà-phōo,附錄
3912,hinghuat,刑法,hîng-huat,
3913,hinghuat,刑罰,hîng-hua̍t,
3914,hinghun,興奮,,
3915,hingi,行醫,hîng-i,
3916,hingiann,形影,hîng-iánn,
3917,hingiong,形容,hîng-iông,
3918,hingjin,行人,,
3919,hingjin,杏仁,,
3920,hingjinte,杏仁茶,hīng-jîn tê/hīng-lîn tê,
3921,hingkham,胸坎,hing-khám,
3922,hingkhamkut,胸坎骨,hing-khám-kut,
3923,hingkhi,興起,,
3924,hingki,刑期,hîng-kî,
3925,hingkian,興建,hing-kiàn,
3926,hingking,刑警,hîng-kíng,
3927,hingkuakut,胸掛骨,hing-kuà-kut,
3928,hingkun,行軍,hîng-kun,
3929,hingli,行李,hîng-lí,
3930,hinglin,杏仁,,
3931,hinglinte,杏仁茶,hīng-jîn tê/hīng-lîn tê,
3932,hingliok,型錄,hîng-lo̍k,
3933,hinglok,型錄,hîng-lo̍k,
3934,hingong,興旺,hing-ōng,
3935,hingse,形勢,hîng-sè,
3936,hingsiau,行銷,hîng-siau,
3937,hingsiau,還數,hîng siàu,
3938,hingsik,形式,hîng-sik,
3939,hingsik,型式,hîng-sik,
3940,hingsing,形成,hîng-sîng,
3941,hingsing,興盛,,
3942,hingsiong,形象,hîng-siōng,
3943,hingsirlik,行事曆,hîng-sū-li̍k,
3944,hingsu,刑事,hîng-sū,
3945,hingsu,行使,hîng-sú,
3946,hingsu,行駛,,
3947,hingsue,興衰,hing-sue,
3948,hingsulik,行事曆,hîng-sū-li̍k,
3949,hingthai,形態,hîng-thài,
3950,hingthai,型態,hîng-thài,
3951,hingthau,興頭,hìng-thâu,
3952,hingthiankiong,行天宮,Hîng-thian-kiong,附錄
3953,hingthing,行程,hîng-tîng,
3954,hingting,行程,hîng-tîng,
3955,hingtiong,兄長,hing-tióng,
3956,hingtong,行動,hîng-tōng,
3957,hingtshai,莧菜,hīng-tshài,
3958,hingtshenn,行星,hîng-tshenn/hîng-tshinn,
3959,hingtshia,行車,hîng-tshia,
3960,hingtshinn,行星,hîng-tshenn/hîng-tshinn,
3961,hingtshu,興趣,hìng-tshù,
3962,hingtshun,恆春,,附錄
3963,hingtshuntin,恆春鎮,Hîng-tshun-tìn,附錄
3964,hingtsing,行政,hîng-tsìng,
3965,hingtsing,胸前,hing-tsîng,
3966,hingtsinginn,行政院,,
3967,hingtsinn,還錢,hîng tsînn,
3968,hingtsiu,興酒,hìng tsiú,
3969,hingtsong,行蹤,hîng-tsong,
3970,hingtsong,形狀,hîng-tsōng,
3971,hingui,行為,hîng-uî,
3972,hingun,幸運,hīng-ūn,
3973,hinna,耳仔,hīnn-á/hī-á,
3974,hinnanga,耳甕仔,hīnn-àng-á/hī-àng-á,
3975,hinnkau,耳鉤,hīnn-kau/hī-kau,
3976,hinnkhang,耳空,,
3977,hinnkhangkhin,耳空輕,hīnn-khang-khin/hī-khang-khin,
3978,hinnkhangkuia,耳空鬼仔,hīnn-khang-kuí-á/hī-khang-kuí-á,
3979,hinnkhangtang,耳空重,hīnn-khang-tāng/hī-khang-tāng,
3980,hinnkhuan,耳環,hīnn-khuân/hī-khuân,
3981,hinnki,耳機,hīnn-ki,
3982,hinnkiann,耳鏡,hīnn-kiànn/hī-kiànn,
3983,hinnpea,耳扒仔,hīnn-pê-á/hī-pê-á,
3984,hinnsai,耳屎,hīnn-sái/hī-sái,
3985,hinntiau,挕掉,hìnn-tiāu,
3986,hinntsu,耳珠,hīnn-tsu/hī-tsu,
3987,hintshia,眩車,hîn-tshia,
3988,hintsun,眩船,hîn-tsûn,
3989,hioha,葉仔,hio̍h-á,
3990,hioham,歇暗,hioh-àm,
3991,hiohjuah,歇熱,hioh-jua̍h/hioh-lua̍h,
3992,hiohkang,歇工,hioh-kang,
3993,hiohkhun,歇睏,hioh-khùn,
3994,hiohkuann,歇寒,hioh-kuânn,
3995,hiohluah,歇熱,hioh-jua̍h/hioh-lua̍h,
3996,hiohme,歇暝,hioh-mê/hioh-mî,
3997,hiohmi,歇暝,hioh-mê/hioh-mî,
3998,hiohtang,歇冬,hioh-tang,
3999,hiohtau,歇晝,hioh-tàu,
4000,hiohtshuan,歇喘,hioh-tshuán,
4001,hiohue,後悔,hiō-hué,
4002,hioko,後果,hiō-kó,
4003,hiongbin,鄉民,hiong-bîn,
4004,hionghiong,雄雄,hiông-hiông,
4005,hionghok,享福,hiáng-hok,
4006,hionghong,雄黃,hiông-hông,
4007,hionghongtsiu,雄黃酒,hiông-hông-tsiú,
4008,hiongiusingtiok,胸有成竹,,
4009,hiongkang,香港,,
4010,hiongkangkha,香港跤,hiong-káng-kha,
4011,hiongkong,兇狂,hiong-kông,
4012,hiongkongsoo,鄉公所,,
4013,hiongni,凶年,hiong-nî,
4014,hiongok,兇惡,hiong-ok,
4015,hiongsan,香山,Hiong-san,附錄
4016,hiongsankhu,香山區,Hiong-san-khu,附錄
4017,hiongsian,向善,hiòng-siān,
4018,hiongsim,雄心,hiông-sim,
4019,hiongsiu,兇手,hiong-siú,
4020,hiongsiu,享受,hiáng-siū,
4021,hiongsuah,凶煞,hiong-suah,
4022,hiongthianoosuann,向天湖山,Hiòng-thian-ôo-suann,附錄
4023,hiongthoo,鄉土,hiong-thóo,
4024,hiongtin,鄉鎮,hiong-tìn,
4025,hiongtiunn,鄉長,hiong-tiúnn,
4026,hiongtshin,鄉親,hiong-tshin,
4027,hiongtshiu,兇手,hiong-siú,
4028,hiongtshiu,鄉愁,hiong-tshiû,
4029,hiongtshuan,鄉村,hiong-tshun,
4030,hiongtshun,鄉村,hiong-tshun,
4031,hiongtsian,向前,hiòng-tsiân,
4032,hiongui,雄偉,hiông-uí,
4033,hionnhue,香火,hiunn-hué/hiunn-hé,
4034,hiopue,後輩,hiō-puè,
4035,hiorhkhun,歇睏,hioh-khùn,
4036,hiorkor,後果,hiō-kó,
4037,hiorrue,後衛,hōo-uē,
4038,hiortsia,後者,hiō-tsiá,
4039,hiorue,後衛,hōo-uē,
4040,hiose,後世,,
4041,hiosir,後嗣,hiō-sū,
4042,hiosu,後嗣,hiō-sū,
4043,hiosuanjin,候選人,hāu-suán-jîn/hāu-suán-lîn,
4044,hiosuanlin,候選人,hāu-suán-jîn/hāu-suán-lîn,
4045,hiotai,後代,āu-tāi,
4046,hiothian,後天,,
4047,hiotsia,後者,hiō-tsiá,
4048,hioue,後衛,hōo-uē,
4049,hiouitsing,後遺症,,
4050,hipan,戲班,hì-pan,
4051,hipau,翕甌,hip-au,
